,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.8091294292859035,2022-03-26 00:57:58.815924,2022-03-26 01:27:45.295602,0 days 00:29:46.479678,0.0009221328742905087,1024,0.0004431782470491027,0.0001,0.005,55.0,COMPLETE
1,1,0.7931792737796207,2022-03-26 01:27:45.296700,2022-03-26 01:38:55.961593,0 days 00:11:10.664893,0.000822947056533328,1024,0.000275034884505077,0.0001,0.005,85.0,COMPLETE
2,2,0.8044961280860036,2022-03-26 01:38:55.962787,2022-03-26 02:12:00.431508,0 days 00:33:04.468721,0.0006363281472900566,512,0.00029106604692854,0.0001,0.005,90.0,COMPLETE
3,3,0.801868810053207,2022-03-26 02:12:00.432355,2022-03-26 02:44:58.377972,0 days 00:32:57.945617,0.0007840222805469662,512,0.00047023865531706444,0.0001,0.005,85.0,COMPLETE
4,4,0.811250624980994,2022-03-26 02:44:58.379217,2022-03-26 03:11:34.697742,0 days 00:26:36.318525,0.0008240859360255986,1024,0.0002472966159362192,0.0001,0.005,10.0,COMPLETE
5,5,0.8072262259259926,2022-03-26 03:11:34.699349,2022-03-26 03:31:30.130856,0 days 00:19:55.431507,0.0009350060741234096,1024,0.0004914473368931056,0.0001,0.005,100.0,COMPLETE
6,6,0.7933322945434769,2022-03-26 03:31:30.132018,2022-03-26 03:42:39.601634,0 days 00:11:09.469616,0.0007602387397756024,1024,0.00037155181204758414,0.0001,0.005,80.0,COMPLETE
7,7,0.8063003630923499,2022-03-26 03:42:39.602790,2022-03-26 04:10:26.211364,0 days 00:27:46.608574,0.0005716766437045232,1024,0.00047786756681983357,0.0001,0.005,75.0,COMPLETE
8,8,0.8032694731241307,2022-03-26 04:10:26.212229,2022-03-26 04:43:18.851121,0 days 00:32:52.638892,0.0007368002096733287,512,0.000174532937330704,0.0001,0.005,55.0,COMPLETE
9,9,0.7949237366320505,2022-03-26 04:43:18.851956,2022-03-26 05:00:53.383348,0 days 00:17:34.531392,0.0007842169744343243,512,0.00010751592017454206,0.0001,0.005,75.0,COMPLETE
10,10,0.8065803524245858,2022-03-26 05:00:53.384322,2022-03-26 05:20:02.986344,0 days 00:19:09.602022,0.0009786085715472858,1024,0.00022571284263507178,0.0001,0.005,5.0,COMPLETE
11,11,0.8092273300736066,2022-03-26 05:20:02.987200,2022-03-26 05:46:52.179100,0 days 00:26:49.191900,0.0008933363636052221,1024,0.000377118019804173,0.0001,0.005,15.0,COMPLETE
12,12,0.8062756719472276,2022-03-26 05:46:52.179956,2022-03-26 06:05:59.148092,0 days 00:19:06.968136,0.0008878822864578019,1024,0.00037016898661661906,0.0001,0.005,5.0,COMPLETE
13,13,0.8086805005396731,2022-03-26 06:05:59.150052,2022-03-26 06:35:19.819801,0 days 00:29:20.669749,0.0008612819250108645,1024,0.00034141476606312,0.0001,0.005,25.0,COMPLETE
14,14,0.7908209874702781,2022-03-26 06:35:19.821440,2022-03-26 06:44:11.154265,0 days 00:08:51.332825,0.0009998959051209103,1024,0.00020911452629694541,0.0001,0.005,25.0,COMPLETE
15,15,0.8087953157742425,2022-03-26 06:44:11.155114,2022-03-26 07:13:35.551317,0 days 00:29:24.396203,0.0006872164602672773,1024,0.00041901214048708694,0.0001,0.005,25.0,COMPLETE
16,16,0.8092231751534111,2022-03-26 07:13:35.552335,2022-03-26 07:40:20.470707,0 days 00:26:44.918372,0.0008476890466838135,1024,0.0003477366043275437,0.0001,0.005,15.0,COMPLETE
17,17,0.8075985705987738,2022-03-26 07:40:20.471574,2022-03-26 08:07:15.983466,0 days 00:26:55.511892,0.0009498827691194172,1024,0.00011951702575494391,0.0001,0.005,40.0,COMPLETE
18,18,0.8079872952946946,2022-03-26 08:07:15.984455,2022-03-26 08:36:40.442439,0 days 00:29:24.457984,0.0006912552279478526,1024,0.00025058425559398487,0.0001,0.005,40.0,COMPLETE
19,19,0.80928542718721,2022-03-26 08:36:40.443330,2022-03-26 09:03:20.010366,0 days 00:26:39.567036,0.0005006054773883141,1024,0.0003175243817286917,0.0001,0.005,15.0,COMPLETE
